cleaned_text,label,intensity
s/o girl hit car ... get lucky w/ scratch also spared wrath sleep deprived kait🙃,anger,0.542
's raging type properly ... ha ha !,anger,0.375
# oow # sting decent new song,anger,0.125
ok scrubbed hands times trying put in.\neyeballs # burning \n # evenmoreblind accidentally scared # cat whilst # screeching,anger,0.604
joined # pottermore sorted hufflepuff 😡😡😡 # fuming,anger,0.708
joined # pottermore sorted hufflepuff 😡😡😡,anger,0.438
"n't ask , n't get . apologies 've offended . due respect alan , think 've fed duff info .",anger,0.427
"miss gran singing rawhide , deep baritone growl .",anger,0.292
baby born soon # lifechanging years feels like yesterday # sad # happy # angry # emotionalrollercoaster,anger,0.375
baby born soon # lifechanging years feels like yesterday # sad # happy # emotionalrollercoaster,anger,0.354
would always honest 's great feedback opinion brand - n't want offend # bloghour,anger,0.438
. insist give best insult first,anger,0.562
coincidentally watched ulzana 's raid last night - brutally indignant filmmaking .,anger,0.542
saddest part whole mess # anger # misdirected march # whitehouse,anger,0.667
"note self ~ stop laughing things offend , 's ok get mad people \n # notetoself # offended # mad # upset",anger,0.542
"think defense usc playing well , need fix things offense win pac year '",anger,0.25
eat ass ' longer insult,anger,0.438
"vanity sizes ? sizes , xs ( evenxxs sometimes ) big , wtf ? ! dear corporate jerks , lithuania n't need . # rant # angry",anger,0.708
"vanity sizes ? sizes , xs ( evenxxs sometimes ) big , wtf ? ! dear corporate jerks , lithuania n't need . # rant",anger,0.518
"turn game wanting play madden , load game turn .",anger,0.5
"'ve always fiery , never radical .",anger,0.438
"taking umbrage jimmy carr claimed bilbo baggins went mordor cats countdown . know baggins ' , mate .",anger,0.375
"anger , resentment , hatred destroyer fortune today .",anger,0.396
"anger , resentment , hatred destroyer fortune today . '",anger,0.375
spend even minutes already irritate seriously bitch shut,anger,0.812
sting damn earnest early morning listening .,anger,0.37
sting damn earnest early morning listening . # sting,anger,0.446
seeing alex revells face gets angry,anger,0.583
"spent months arranging swap , new jobs etc , 've found 's leading merry dance . # fuming",anger,0.667
beware fury weak king,anger,0.417
growl ! ! !,anger,0.5
"( sam ) brown 's law : never offend people style fake , break us island .",anger,0.333
"event started ! everyone getting ready travel lake rage , everything glows",anger,0.521
"scotland , right-wingers rabid anti-nationalists . socialists mostly favour .",anger,0.604
people always get offended everyone 's situation different ! kids n't mean settle,anger,0.562
"try let anger seep reviews , resent time wasted books like . time precious .",anger,0.625
hope hustle n't offend nobody,anger,0.292
"watched django unchained , people may frown , titter delight ! /",anger,0.229
lol little things like make angry x,anger,0.604
"point today someone says something remotely kind , waterfall burst eyes",anger,0.319
's game day ! ! ! ! minus : # relentless,anger,0.144
game pissed game year . blood boiling ! time turn ! # stlcards,anger,0.898
've found 's candice candace . pout likes 😍,anger,0.271
ca n't come mum ' th k tweets 🙈 # soreloser,anger,0.646
ca n't come mum ' th k tweets 🙈 # bitter # soreloser,anger,0.583
wan na go home focus game . n't wan na rage,anger,0.375
've disconnected whilst holiday 😤 n't move house st october 🤔 # furious,anger,0.625
've disconnected whilst holiday 😤 n't move house st october 🤔,anger,0.396
wan na see smile n't wan na see make frown,anger,0.25
ur road rage gives anxiety .,anger,0.438
'm furious 😩😩😩,anger,0.708
winning war raging inside mind . desire love rolling something -,anger,0.333
gon na give kkk police bitch minimum sentence .. wattch # angry,anger,0.877
gon na give kkk police bitch minimum sentence .. wattch,anger,0.708
got murdered madden . 🤕,anger,0.417
nephew sees frown face tells 'you 're beautiful ' ! 😢💞😩,anger,0.229
sister 's dog . think 's knows 'll provoke reaction,anger,0.375
new madden video gon na xbox ahole going 🙄🙄 # struggles,anger,0.667
"animosity toward hillary comes conspiracy theories perception , animosity toward trump based says .",anger,0.354
yay bmth canceled melbourne show fanfuckingtastic lost days pay hotel fees happy atm # sad # angry,anger,0.812
yay bmth canceled melbourne show fanfuckingtastic lost days pay hotel fees happy atm # sad,anger,0.562
watch amyah throw temper tantrums gets mad something 'm like damnit ca n't nothing laugh 😅,anger,0.312
impossible say . hope ’ unwittingly trigger ferocious side . hell hath fury ..,anger,0.625
doubt going struggle year . moments like payet take sting .,anger,0.458
autocorrect changes `` em ' 'me ' resent greatly,anger,0.521
candice great british bake pout head 👊🏻🙄,anger,0.583
point scorning fury labor nothing address long term detention need resettle # asylumseekers # manus # nauru,anger,0.458
huge congratulations nicole winning big brother ! # bb sorry sorry # bitter # bbmichelle,anger,0.271
huge congratulations nicole winning big brother ! # bb sorry sorry # bbmichelle,anger,0.188
fast furious monday pm mbc 😍😍😍😍😍😍😍,anger,0.271
"sorry burst anti # allo spam , fuck messaging app launching , without encryption default .",anger,0.708
'm shady one jongdae 's ex rumoured girlfriends going wgm 'm saying 'm joyed 'm joyed # bitter,anger,0.417
'm shady one jongdae 's ex rumoured girlfriends going wgm 'm saying 'm joyed 'm joyed,anger,0.292
work yesterday old cunt couple told coffees cold wanted refund put finger front angrily,anger,0.771
want say something bad ca n't ! # furious 😤,anger,0.521
“ competition suppose motivate better everytime bitter time ” -de philosopher dj kyos \n # quote # success # csgo,anger,0.271
please tell us 'protesting ' injustice requires # burning # beating # looting terrible optics # toussaintromain true leader !,anger,0.729
ballmer furious . another delivery lost ...,anger,0.5
stop tracking back fucking potato faced cunt errrr infuriating 😠😠😠😠😠 # angry # rooney # mufc,anger,0.938
stop tracking back fucking potato faced cunt errrr infuriating 😠😠😠😠😠 # rooney # mufc,anger,0.917
looking forward div next year ? # revenge # leictershireaway # therey,anger,0.479
looking forward div next year ? # leictershireaway # therey,anger,0.375
shot black police woman typical looney toon thinking. # hillary # divide # anger # chaos,anger,0.648
ca n't believe putting prices ! ! already know 'm struggling pay bill & amp ; wo n't change package ! !,anger,0.667
ca n't believe putting prices ! ! already know 'm struggling pay bill & amp ; wo n't change package ! ! # raging,anger,0.755
yal aggravate tf outta acting lying yal ca n't tell difference dyke man . rarely hard tell difference,anger,0.792
could get line block ! # germantownbroncos # lilleague # popwarner # broncos # usafootball # offense # lineman,anger,0.521
star trek online update download oh fuming yay,anger,0.479
make sure tell scared # revenge 🙌🏼🙌🏼,anger,0.5
"... specifically cause , resent considered enemy .",anger,0.417
war right outside door # rage # usatoday,anger,0.5
war right outside door # usatoday,anger,0.396
"guy raging hard rocket league game , beat started crying laughing hard lol",anger,0.333
listening politicians making # angry 'm fucking tired political speak career politicians,anger,0.798
bored rn leave kik/snapchat # kik # kikme # kikmessage # boredaf # bored # snapchatme # snapchat # snap # country # countrygirl,anger,0.375
bored rn leave kik/snapchat # kik # kikme # kikmessage # boredaf # bored # snapchatme # snapchat # country # countrygirl,anger,0.173
"hi folks . flight going hour late departing inv ( ezy ) , go getting refund please ? # boiling",anger,0.771
"hi folks . flight going hour late departing inv ( ezy ) , go getting refund please ?",anger,0.625
u fucked house 'll always hold grudge,anger,0.906
also likes incurring lily 's wrath .,anger,0.333
- remind 'twenty 's plenty ' # revenge !,anger,0.438
- remind 'twenty 's plenty ' !,anger,0.25
rare officer shoots without regard . n't want conscience . # incite # inflame,anger,0.646
rare officer shoots without regard . n't want conscience . # incite,anger,0.5
"gerard finally made stairs little huff , face little red . little legs --",anger,0.5
happened . need smoke . # burning,anger,0.688
happened . need smoke .,anger,0.479
really wish road rage n't damn bad lmaooooo,anger,0.604
"idea , exhausted tidying room burst crying ... fs",anger,0.375
"neither intelligent , definitive useful shall name call would like expand offend ?",anger,0.458
think 've got together day randomly burst crying,anger,0.323
"offend ,",anger,0.542
look burst laughing,anger,0.229
"hi monica , write regularly - bees - never dared try # buzz # sting # honey",anger,0.375
"hi monica , write regularly - bees - never dared try # buzz # honey",anger,0.354
( ) watch ppl filled w/ impotent rage time - led anything,anger,0.465
killed spider big sprayed spider guts like horror movie.\n # ugh # revenge,anger,0.521
let 's stereotype south asians relentless beat reporters .,anger,0.562
's step boiling broccoli tbh,anger,0.292
think high-profile female colleague would one yhat category ... # massexodus,anger,0.521
think high-profile female colleague would one yhat category ... # massexodus # bitter,anger,0.396
"whats p minute charge , insult injury",anger,0.646
"last night , rev . dr. earl johnson spoke wake progressive # democrats transforming # moral # outrage effective political # action .",anger,0.396
repeal/remove 'johnson amendment ' . direct affront first amendment constitution .,anger,0.438
hate little girls 😡😡 got lot growing ! ! ! # fuming,anger,0.875
hate little girls 😡😡 got lot growing ! ! !,anger,0.688
"-- used pawn red woman 's game ] , try fret act nothing amiss . royal --",anger,0.438
police : atlanta rapper shawty lo killed fiery car crash,anger,0.396
's political map relentless pursuit power .,anger,0.333
one 's gon na chill bc fake outrage fun w/e space college,anger,0.438
almost feel offended thinks 's big deal . 's knows 'll literally anything kai .,anger,0.583
"discriminate generates hate\nand hate 're bound get irate ,",anger,0.562
weak people revenge . strong people forgive . intelligent people ignore .,anger,0.271
wan na kill destroy . want died want flint back . # emo # scene # anger # fuck # die # hatered,anger,0.833
wan na kill destroy . want died want flint back . # emo # scene # fuck # die # hatered,anger,0.91
wan na kill destroy . want died want back . # emo # scene # fuck # die # hatered,anger,0.771
wan na kill destroy . want died want back . # emo # scene # anger # fuck # die # hatered,anger,0.851
using multiple combs simultaneously like call impressive work ! ! ; -o # ohsnap # daaamn,anger,0.296
using multiple combs simultaneously like call impressive work ! ! ; -o # snap # ohsnap # daaamn,anger,0.292
nothing relentless dog begging food,anger,0.479
ok got madden refunded got ta wait days money got ta pre-order fifa ....,anger,0.458
guess 's convenient target misplaced anger . 're really mad played .,anger,0.521
people smoke cigarettes irritate soul .,anger,0.492
favourite quote year far ' swore parsnip ' 😂,anger,0.312
favourite quote year far ' swore parsnip ' 😂 # raging,anger,0.292
threat factors respect provocation bulb worm : bnqo,anger,0.562
# scorpio always seek revenge !,anger,0.583
"— self-hatred gives rise fury , fury desire self-change .",anger,0.458
sting like bee 're still honey .,anger,0.229
"u time open snap , u time respond",anger,0.375
"may offend , say u never trust cop 🚓 color , especially white ( evidence clear ) ! klan awoke",anger,0.604
"meanwhile getting .am train . hope really , really enjoy hotel , shennan . # fuming",anger,0.583
"meanwhile getting .am train . hope really , really enjoy hotel , shennan .",anger,0.219
"# forgiveness might make us look # weak , weakest person one holds # anger , # hatred , # revenge .",anger,0.396
"# forgiveness might make us look # weak , weakest person one holds # anger , # hatred , .",anger,0.354
. lol wish understood crazy rabid fans & amp ; addressed .,anger,0.356
way wash hands mistakes disgraceful . left driving round tyre burst moment,anger,0.458
"people talk , words sting , handle differs . like change culture ? # bedifferent",anger,0.354
"quick # listen , slow # speak , slow # anger .",anger,0.292
"quick # listen , slow # speak , slow .",anger,0.121
"despite # outrage fatigue , n't lose shine",anger,0.417
police n't wan na called pigs keep actin like em .... honestly 's even insult pigs,anger,0.84
troubled soul n't loose heart 'cause joy peace brings beauty 's store outweighs hurt life 's sting .,anger,0.354
floated like butterflies . sting like bees ! ',anger,0.271
"n't like pineapple eat pizza , lose sting get cooked .",anger,0.192
ok fast & amp ; furious movies classified comedy 's ? 🤔,anger,0.292
😂😂😭😭😭 resentment,anger,0.438
offense doctor crying tears joy realizing family christmas cute,anger,0.208
sound like husband ... makes hotter hotter sauce - fiery torment brings mouth-joy ! 🔥,anger,0.292
"warning : sensitive , angry , insecure baby today , ugh people large either hate ignore bc literally~the worst~",anger,0.688
karev better ! ! ! seriously done done # unfair # ugh,anger,0.604
black female leo💙 shot times died philadelphia -- 's # outrage black people ? # sharpton # blm # thefive,anger,0.583
n't know ... n't punk mostly white men throwing tantrums ?,anger,0.354
oh daaaaaaamn ! # getitgirl # girlpower # anger # rawr # chicagopd,anger,0.375
oh daaaaaaamn ! # getitgirl # girlpower # rawr # chicagopd,anger,0.354
'm deleting social media apps phone . might keep snap chat insta 'll never .,anger,0.333
panpiper playing big river outside bridges sr # outrage,anger,0.5
panpiper playing big river outside bridges sr,anger,0.271
base 's going rain brills snap stories .,anger,0.25
thinking # ukip party angry old men - wrong !,anger,0.583
"much outrage ‘ oh , using female body sell something , ’",anger,0.542
congrats # nicole # bb ... fix nose 😒💁🏻 # bitter # petty,anger,0.5
congrats # nicole # bb ... fix nose 😒💁🏻 # petty,anger,0.417
"golden ocean day lush , gagged sick ... waste £ - fuming miss",anger,0.688
might sting bit lads 'll get . # betterwithsinnfein,anger,0.417
offense ppl using creams build glutes ... come . go squat .,anger,0.542
joke # fuming,anger,0.688
joke,anger,0.312
"offend faith unless persecutes , treat like dog , disrespect even",anger,0.521
patriots lamest color rush jerseys whole nfl # madden ( hope wear tonight ),anger,0.396
offense could troye start dming people feel like less idiot dm thanks,anger,0.375
"forgiveness might make us look weak , weakest person one holds anger , hatred , revenge .",anger,0.333
instagram seriously sort sh * . spent ages writing caption delete post ! ! # fume # instagram,anger,0.729
instagram seriously sort sh * . spent ages writing caption delete post ! ! # instagram,anger,0.708
trump supports reach another level irritation within,anger,0.688
people need look definition protest . protesting called vandalism . # angry # stop,anger,0.78
people need look definition protest . protesting called vandalism . # stop,anger,0.688
: # politicallycorrect # bs # offended assumption usa change 'visitor ' & amp ; n't like ?,anger,0.583
personally liked # relentless …did n't get # ourhouse # onejersey # werealldevilsinside \ndoes nothing till puck drops # njdevils,anger,0.354
've quad shot every day sleep right ... 's time detox 😅 get raging migraines without coffee : /,anger,0.438
passed away early morning fast furious styled car crash leaving atl strip club . 's rough stuff,anger,0.354
going back blissful ignorance ? ! # fury,anger,0.583
going back blissful ignorance ? !,anger,0.454
pout tips edge . definitely agin . feic bakes full make boots heels ! ! ! !,anger,0.49
ethan someone car revenge grayson,anger,0.292
king insult intelligence black community . people thinking ?,anger,0.542
snap going crazy 😭😭,anger,0.458
got $ tip drunk uber passenger . today get $ parking ticket . 'd blame karma dumb ass forgot pay meter .,anger,0.729
got $ tip drunk uber passenger . today get $ parking ticket . 'd blame karma dumb ass forgot pay meter . # rage,anger,0.708
homework watch revenge possibly go tonight'\n * plays phone hours avoid homework,anger,0.438
n't meaning offend . saying personal experience . kids got placed classes take advantage,anger,0.417
damn .. lol .. maybe best though .. brother might still lookin revenge 😂,anger,0.417
's exactly rabid tub thumper compared mcternan .,anger,0.5
dear hipster behind game finding hard pay attention talk politics grapes wrath . shut !,anger,0.854
jv girls earn w vs stonington - today . goals k waite winakor . assist .,anger,0.292
jv girls earn w vs stonington - today . goals k waite winakor . assist . # relentless,anger,0.188
white people irritate .,anger,0.629
"y'all bitches angry bitter , must truly suck lol",anger,0.708
n't listen white trash talk blacks . 's insult . talk race living trailers,anger,0.625
're going get city next round revenge .,anger,0.438
: * sees incense burner * drugs ?,anger,0.354
"hey stupid , bad intel take bin laden . try faux outrage . bet u admire putin right ?",anger,0.688
awesome . another non-native offended behalf . need world . # saidnondnever . # paternalism,anger,0.417
's secret : personal dislike trump & amp ; animosity always present .. magnified bigotry/racism etc .,anger,0.653
's turn . soon says hi burst tears lmaoo overwhelmed .,anger,0.354
cmode grimrail made want eat angry bees,anger,0.667
"getting offended furious writers style ; taste ultimately daft , suppose .",anger,0.625
u strong u offend weak & amp ; insecure . stay strong . joshua : - # god # internationaldayofpeace # actorslife,anger,0.312
since fuck stand concert ? # raging,anger,0.771
since fuck stand concert ?,anger,0.75
irritation level time high today 🙃,anger,0.75
blacks good provoke selfs blaming white black cops shooting blacks,anger,0.625
lmao ! imagine frown across face . # hilarity,anger,0.271
# adp 's # ezlabor web portal slowest web app ever displeasure using ! !,anger,0.729
raging angry.=/ bil $ pro liars . ( actors ) useless people america working x harder ?,anger,0.667
would n't fret . 's many opportunities life worry one working .,anger,0.354
force neighbours pay ! people nerve ! ! ! # outrage # victim,anger,0.833
# offended tonys found way leave y'all,anger,0.542
's tip everyone : stop offended . end . # quit # youredumb # liveyourownlife,anger,0.604
's tip everyone : stop offended . end . # offended # quit # youredumb # liveyourownlife,anger,0.479
na kids relentless,anger,0.458
finally uploaded file needed university server 's drop box . took like half hour lot cursing anger part,anger,0.521
"'just getting lost ! n't want see eyes ! ' hungary huffed crossed arms , looking away angrily .",anger,0.562
"pro tip : go back work kid reaches mos old . stay home longer , 'll absolutely miserable # tantrums .",anger,0.542
"pro tip : go back work kid reaches mos old . stay home longer , 'll absolutely miserable .",anger,0.396
burns pick pitches n't get like 😢😢 # sting,anger,0.542
burns pick pitches n't get like 😢😢,anger,0.438
imagine bitter bias dating & amp ; sending threats partner . like ? 's nasty . n't even know exist,anger,0.604
every dancers dream song # snap # worldpower,anger,0.188
every dancers dream song # worldpower,anger,0.146
. n-word . think afr-am entitled : n't take away insult claimed back .,anger,0.583
one # angry days . stop watching # news .,anger,0.625
ca n't cope wi sour face tiny pout 😡😡,anger,0.479
karev better ! ! ! seriously done done # angry # unfair # ugh,anger,0.676
"# poor = # angry justly . offer people hope ! god , anyone see ? ! # education # elite",anger,0.75
howard webb always held knowing answers . red . sutton craigan raging ! hahaha,anger,0.458
icq making mad ! ! ! 😤 # icq # angry,anger,0.75
icq making mad ! ! ! 😤 # icq,anger,0.729
ppl like irritate soul,anger,0.458
always picking pieces : / # angry,anger,0.812
always picking pieces : /,anger,0.458
"'ve learned let go resentment people hurt , keeping like swallowing poison expecting die .",anger,0.458
pride prejudice modern day keeping kardashians ' - ............. 've never offended life,anger,0.685
outrage kessel 's tweet butthurt usa players hilarious .,anger,0.354
came silly o'clock woke 's happened # wasted # fuming,anger,0.771
came silly o'clock woke 's happened # wasted,anger,0.625
awh tiff 're great friend love : ( ( thank,anger,0.167
oh man 's long since 've played # madden trash anymore .,anger,0.354
wave fiery cross f * * kin ' !,anger,0.667
"thou wilt valiant wrathful dove , magnanimous mouse . william shakesphere",anger,0.464
"sparkles , proud little huff . still posing mind .",anger,0.417
", nipples n't offend lol . 's sad see women purposely flaunting/sexualizing bodies immodest way .",anger,0.521
wonder usa going shit outrage simple analogy .,anger,0.542
guys n't use type language . save raging ...,anger,0.458
switch host bullet rage .,anger,0.396
thurston offers gallen ‘ peace ’ mind : north queensland playmaker johnathon thurston insists holds grudge paul g ...,anger,0.312
back starting irritate 's barely : 😓,anger,0.417
manchester derby home # revenge,anger,0.211
manchester derby home,anger,0.188
defination best friends .. ! ! ! \n\na person opens mouth # insult yu .. ! ! : : :,anger,0.386
nothing entertaining frightening # bitter # alcoholic trying desperately get attention .....,anger,0.479
fucking muppet . # fuming # stalker .,anger,0.792
fucking muppet . # stalker .,anger,0.792
two ten times interesting particular afternoon goofballs ( could say worse ) . # umbrage,anger,0.438
two ten times interesting particular afternoon goofballs ( could say worse ) .,anger,0.255
casuals tweets vic faved making gag # bitter,anger,0.667
casuals tweets vic faved making gag,anger,0.646
n't know much bloody pout take ! !,anger,0.625
"note self ~ stop laughing things offend , 's ok get mad people \n # notetoself # mad # upset",anger,0.417
"’ taken granted , misogyny air treated normal — angry response pathological .",anger,0.438
"( ) watch memes & amp ; statements designed make feel outrage , n't give anything * * situation",anger,0.542
"angry god get want , god gives expect least .",anger,0.289
nick fury,anger,0.438
! kinda offended ask,anger,0.458
"yeah 'm hot nigga , say im burning uhhhhh",anger,0.509
haha ! well today . ca n't get beyond pout annoying 'm afraid .,anger,0.458
yo gurls dm tribute 😜💦 # snapme # dm # nudes # tribute # cumtribute # cock # cum # swallow,anger,0.479
yo gurls dm tribute 😜💦 # snapme # dm # nudes # tribute # cumtribute # cock # snap # cum # swallow,anger,0.271
( maybe n't provoke future want run risk punching board . ),anger,0.542
"'s also mostly ( except synthetic testosterone bits ) male , raging sexist !",anger,0.646
looks like rabid pack inbreds .,anger,0.562
need today ! u know many fuckin french plaits morn stroppy yr old ! # rage,anger,0.896
need today ! u know many fuckin french plaits morn stroppy yr old !,anger,0.729
"biggest fears : incurable std 's pregnancy ... mean , 're basically thing anyway # forlife # annoying # irritation # weirdsmells",anger,0.583
"biggest fears : incurable std 's pregnancy ... mean , 're basically thing anyway # forlife # annoying # weirdsmells",anger,0.417
"# charlotteriots # passion ? # anger act violence.\nif mourning past away , # stayhome # whyout",anger,0.562
resentment rlly shit .,anger,0.562
resent tired annoyed word wiener splashed across news . slam-dunk,anger,0.542
wow realized much sexist pig ! truly sorry anyone offended,anger,0.405
'd say outrage really faux outrage .,anger,0.479
already tell programme going infuriate # extremeworld,anger,0.75
height irritation person makes hilarious chusssss .... plz die .... 😬😬,anger,0.708
hour rides make # angry # sorry,anger,0.688
hour rides make # sorry,anger,0.271
jelly baby favourite insult,anger,0.396
"began squirm beneath , struggling get relentless grasp . realized attempt useless , ++",anger,0.438
& lt ; • change . follows behind scowl pinching lips takes sheets room . 'so • & gt ;,anger,0.361
forever raging 😏😂😭,anger,0.688
"offense , n't little late getting radio broadcast degree ? n't going decade ?",anger,0.325
"wow , right need help , 'm getting laureliver fandom bitter comic fandom",anger,0.479
"criminalized posting pic brown frown .... get pic jack , cookies , diesel , join",anger,0.562
", scrap * rage instead",anger,0.583
ppl defending cops continue kill innocent ppl ppl n't innocent clearly cooperate irritate tf outta,anger,0.75
living life relentless,anger,0.417
forever straight fix frown u good😇,anger,0.458
"smh customers getting angry bc aint got marlboro lights gas hut . called hours ago , fuck .",anger,0.729
# bitter hahaha kidding . crazy tho,anger,0.417
"yr old man threw saucepan boiling water garda , & amp ; hit garda shaft brush ... letterkenny district court .",anger,0.406
way towards prominent exasperate peaked ? : tgmbnquee,anger,0.375
"abroad causing make spontaneous decisions worry things good , type part fuming",anger,0.521
neither one y'all see madden,anger,0.375
summar one insult 're gone idc 're dad,anger,0.667
ended paying p half tube smarties . n't even get pleasure popping plastic lid either # outrage,anger,0.583
ended paying p half tube smarties . n't even get pleasure popping plastic lid either,anger,0.396
"everything see american police training seems calculated trample human dignity , inflame outrage , escalate confrontations .",anger,0.604
"'ll ceremony next time meet . 'll involve burning something , possibly booze and/or caffeine .",anger,0.396
"# gbbo homely pure piece tv gold . channel attempt tart . mary , sue mel gone . 's . 'm . 👋 # fuming",anger,0.625
"# gbbo homely pure piece tv gold . channel attempt tart . mary , sue mel gone . 's . 'm . 👋",anger,0.396
constantly fucking boiling 's ok,anger,0.771
guess . 's heartbreaking ease kill innocent man get away . # indignation,anger,0.625
guess . 's heartbreaking ease kill innocent man get away .,anger,0.438
"fact , sometimes n't get furious people wrong , get furious fool .",anger,0.5
options table - # revenge coming .,anger,0.458
argh big wasp buzzing blinds window . halp ! # wasp # evil # buzz,anger,0.542
argh big wasp buzzing blinds window . halp ! # wasp # evil # buzz # sting,anger,0.417
someone throw snap dance party lo . rest big homie 🙏🏾,anger,0.375
"angry , bash frustration pastry # gbbo",anger,0.53
excited watch # allstars \n # rupaul # revenge,anger,0.167
strike upon thee great vengeance furious anger attempt poison destroy brothers,anger,0.688
young people bitter older contestants probably know make bakewell tarts 😂 # gbbo,anger,0.375
alex growl .. 😂😂😂,anger,0.312
"may suggest , meal made beans , onions & amp ; garlic , day class .",anger,0.417
"may suggest , meal made beans , onions & amp ; garlic , day class . # revenge",anger,0.292
fell heard snap hffffhj,anger,0.271
bills new offense cordinator think 's difficult game plan ?,anger,0.479
give # sleepnumber another chance customer service . today 's growl + minutes hold . overall bed + service = unimpressive .,anger,0.533
sit home damn much everything starting irritate . need get house !,anger,0.509
least ppl left stores huff past year ive never anyone call guest service yet,anger,0.521
oh play capo nd fret g position rs,anger,0.438
told would n't talk need bring . 'm slightly bitter tøp cover cancer,anger,0.604
"michelle , nothing hating nicole 's game hahaha .... # bitter # bb",anger,0.5
"michelle , nothing hating nicole 's game hahaha .... # bb",anger,0.396
asked jared marry said . # offended,anger,0.562
asked jared marry said .,anger,0.521
's # thirstythursday means 's time # rage . get ready tonight personal # hydration . book . -- . # itslit # miami,anger,0.312
literally nicole already chance played shitty seasons . # bitter,anger,0.553
literally nicole already chance played shitty seasons .,anger,0.5
still bitter last night lads 😂,anger,0.562
worst thing confimation # angry,anger,0.771
worst thing confimation,anger,0.5
loved # sing # tiff q japanese line obviously spoken non japanese . way find japanese line ?,anger,0.333
"wks ago , playing pokemon paying attention . placed elbow rail inches sting .",anger,0.5
broadband shocking regretting signing # angry # shouldofgonewithvirgin,anger,0.646
broadband shocking regretting signing # shouldofgonewithvirgin,anger,0.479
yea forcing turnovers holding pretty good offense points concerning ..... oh wait . ! !,anger,0.375
ok identity revealed 's black educate n't insult people state facts lol ...,anger,0.396
everton playing fume day,anger,0.646
irate check-in system . tried checkin day would n't let seat assigned,anger,0.729
madden reason controllers snapped,anger,0.458
get away wrath reading manga instead watching overdone anime,anger,0.468
\n\nlike rabid dog pulled backs cupboards looking bakewell .. found french fancie & amp ; mini batternburg # winner !,anger,0.333
"please canadian players play us players , lag atrocious . # fixthisgame # trash # sfvrefund # rage",anger,0.604
marcus rojo worst player ever seen . useless toasting burning bastard,anger,0.562
automatic l ima keep trying fam # thewengerway,anger,0.438
automatic l ima keep trying fam # relentless # thewengerway,anger,0.267
n't even realise used insult shit mate,anger,0.646
"flirt , simper , pout , repeat . yuck .",anger,0.479
"anger inside turned fuel , burned watched spin , like inferno types ,",anger,0.688
"even says nothing , 'll still piss people . 's got ta decide wants make angry .",anger,0.438
